district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
MON,-0.0256996624196885,0.2744838976052849,47.69258164649764,0.9108910891089108,0.5379537953795379,0.6336633663366337,24.3,78.2,79.4,86.7,86.4,96.4,39.3,3.0 ,2.8 ,68.7
MORADABAD,0.2620974705550503,0.2446661232516916,41.577007367642814,0.9228441754916792,0.6084215834594049,0.7463439233484619,42.6,69.4,67.6,99.8,79.0,96.0,17.1,9.6 ,1.5 ,69.8
MORBI,0.1564833978223702,0.2353276759609213,31.9801897932365,0.7886435331230284,0.9695057833859096,1.0,35.4,82.4,70.5,98.3,80.1,99.9,34.4,8.9 ,3.4 ,73.3
MORENA,0.3086720121860917,0.4102337891486546,34.30311613333933,0.8832647896235368,0.981335020563113,0.9193293261626068,25.6,70.7,67.0,97.1,62.7,99.5,36.3,27.8 ,6.7 ,58.9
MORIGAON,0.1706563151462871,0.532209935053537,54.72075717104606,0.7727554179566564,0.5863777089783282,0.896594427244582,24.5,78.7,79.1,94.6,62.3,89.5,62.5,39.1 ,11.6 ,70.6
MUKTSAR,0.0337715500275525,0.0869623776600521,41.736799067894,0.953020134228188,0.9946308724832216,1.0,39.8,72.7,68.5,97.8,82.9,99.5,23.9,8.6 ,2.7 ,72.0
MUNGELI,0.0379074553541791,0.3087782566628551,64.12898284691644,0.9136468774094064,0.9707016191210486,0.989976869699306,32.2,68.6,63.6,98.0,80.7,99.7,68.0,20.5 ,3.1 ,64.0
MUNGER,0.3528834797926217,0.2988640544518027,71.3430054947735,0.8747169811320755,0.8988679245283019,0.5683018867924529,44.4,69.5,69.5,97.7,62.8,98.4,15.2,34.7 ,9.6 ,68.6
MURSHIDABAD,-0.0992262344773275,0.4622816909994208,73.38964529430778,0.9702215050608772,0.6257884700014669,0.9458706175737128,24.2,67.6,74.7,99.1,69.7,96.7,28.4,55.4 ,20.6 ,85.4
MUZAFFARNAGAR,0.1456929641039157,0.187036082966016,41.671923232310085,0.9164075993091536,0.6870466321243524,0.9295336787564766,41.8,73.4,69.1,99.9,80.1,97.8,8.2,7.3 ,1.0 ,73.2
MUZAFFARPUR,0.2777528183803325,0.4287759205520806,73.33763374107933,0.8110494450050454,0.9402119071644804,0.5971241170534813,33.8,63.0,65.1,99.9,55.2,96.6,13.2,32.9 ,8.2 ,66.1
NADIA,-0.083975944295896,0.3634856409750321,36.96084585387958,0.9630700778642936,0.5690767519466073,0.9830923248053391,28.3,76.2,77.6,98.2,78.4,98.2,23.0,39.9 ,15.1 ,59.9
NAGAON,0.1910670591596179,0.4376920263350402,65.66430825816711,0.7538627380524614,0.9087315846209126,0.8756737333812432,22.1,78.4,81.3,96.1,66.1,94.5,59.4,42.6 ,15.0 ,58.6
NAGAPATTINAM,-0.0865997381056307,0.1792788680967595,22.959777155036388,0.724679029957204,0.9971469329529244,0.9971469329529244,53.7,89.3,79.2,100.0,69.6,99.0,70.9,6.3 ,5.2 ,65.9
