district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
GAYA,0.3734840078007530,0.37982352643122400,65.88131600967850,0.8883907503539410,0.4794714487966020,0.8109957527135440,30.7,59.4,59.6,99.2,44.4,97.9,9.7,42.8,7.2,73.3
GHAZIABAD,0.1451369143676840,0.14269070298354700,49.08305082156880,0.93184855233853,0.6913140311804010,0.9487750556792870,55.2,81.8,78.9,99.1,84.5,99.9,20.0,8.0,0.6,72.7
GHAZIPUR,0.2680250386477100,0.2787851598364080,41.0109798425257,0.9203021718602460,0.8005665722379600,0.8377714825306890,51.4,75.8,69.7,99.3,64.1,91.8,10.6,13.5,1.9,62.9
GIR SOMNATH,0.13841438496117700,0.25998720707100100,32.371815135839700,0.8465204957102000,0.9237368922783600,1.0,30.8,73.1,65.8,98.2,74.3,99.5,46.6,9.9,0.9,57.8
GIRIDIH,0.18685595264196500,0.21447332377253900,79.90369482505480,0.981078278900985,0.9305339554173150,0.9834110938310010,25.0,57.3,61.6,87.6,59.2,96.5,52.4,45.6,12.3,63.7
GOALPARA,0.08666773688646300,0.5284537404145200,63.5999442198755,0.8223452440865630,0.9355812783090090,0.8872672370407650,23.4,74.1,78.5,90.7,75.3,89.6,71.1,41.8,13.3,66.8
GODDA,0.2687469803242090,0.33631873802152400,101.46346395041700,0.9559072922555120,0.8993781797625780,0.8869417750141320,19.6,50.4,52.7,91.4,54.9,93.5,45.9,48.5,16.1,65.0
GOLAGHAT,0.0004841989734981620,0.39480308252333200,38.82745135483790,0.6624,0.7877333333333330,0.9104,27.9,75.1,77.6,93.7,73.1,96.4,69.3,20.7,9.5,61.6
GOMATI,0.02626031969084840,0.16579345674700200,22.160069692190100,0.6384364820846910,0.33876221498371300,0.9429967426710100,22.8,77.2,80.1,87.7,77.4,98.8,29.9,42.8,24.4,65.5
GONDA,0.3808971315352620,0.2701195106026630,56.684721553721200,0.8760206274172760,0.8087666523420710,0.7971637301246240,31.5,60.4,61.7,100.0,44.6,88.9,13.4,25.4,4.2,41.1
GONDIYA,-0.006754593764005450,0.10800125948990700,40.355955189759400,0.8186244674376140,0.9172245891661600,0.963481436396835,54.1,87.5,80.4,91.6,74.3,98.2,30.6,6.5,0.0,78.3
GOPALGANJ,0.41247373403837700,0.40687316936163400,60.1647925276903,0.8158906450234940,0.14566424604869700,0.616403246475865,32.9,63.3,63.3,99.9,60.1,96.2,12.7,28.0,7.6,57.3
GORAKHPUR,0.20780862904233700,0.24646667201411700,43.73784153164200,0.9078896230081620,0.8181111542945980,0.8764088612514570,42.8,70.1,67.6,99.8,69.6,94.9,17.9,14.6,2.4,63.8
GUMLA,0.2050055522337060,0.4267120788225280,49.777189153459300,0.8785834738617200,0.9162450815064640,0.7481731309724560,33.3,69.3,65.1,75.2,50.1,89.1,51.7,20.9,7.2,52.7
GUNA,0.218286441315097,0.333856260417688,34.16652272697550,0.9166332665330660,0.9623246492985970,0.8376753507014030,17.7,56.8,61.4,81.4,55.6,98.3,43.1,28.1,5.5,73.0
GUNTUR,0.03170264652449310,0.02464092550531870,47.60331366297290,0.9186946902654870,0.9950221238938050,1.0,32.6,68.5,64.9,99.3,83.4,99.2,71.1,35.4,20.7,73.3
GURDASPUR,0.06517100924549040,0.12238580077050100,39.44978674869220,0.8842815814850530,0.5737704918032790,0.9980713596914180,64.6,84.4,79.0,97.6,85.4,99.1,23.5,6.5,8.2,58.5
GWALIOR,0.07960421171382900,0.2886967297020640,23.94906320953390,0.8267035627810450,0.9629885852646140,0.910411622276029,37.9,78.1,72.2,98.6,83.2,99.5,40.6,11.8,3.3,60.6
HAILAKANDI,0.16249349447753400,0.3980190755685990,39.69831169508560,0.6463293650793650,0.6741071428571430,0.6731150793650790,25.3,82.2,81.5,41.2,60.0,91.2,53.6,32.9,10.4,66.8
HANUMANGARH,-0.026800034994604900,0.13064337556895100,21.561303021034900,0.8967339097022100,0.8170028818443800,0.989433237271854,38.4,69.7,65.1,97.8,83.8,99.0,89.0,18.6,2.8,80.2
HARDA,0.09673518742442570,0.40655123170296300,41.88351797190720,0.7734627831715210,0.982740021574973,0.9492988133764830,30.8,73.9,74.1,92.3,68.8,98.8,33.3,10.0,3.9,78.0
HARDOI,0.45733504065166100,0.35427757052437400,52.77133852733450,0.9065573770491800,0.8573770491803280,0.7602914389799640,26.5,59.3,64.6,99.9,55.7,71.0,16.0,19.3,2.8,58.3
HARDWAR,0.14018645489074100,0.16625113077245500,50.57258504846150,0.8511979823455230,0.9836065573770490,0.962589323245061,40.3,76.4,73.9,99.6,69.8,99.7,46.6,9.9,2.3,63.6
HASSAN,-0.018655549765502800,0.31985586349425000,26.60065288741390,0.907103825136612,1.0,0.9893924783027970,51.3,82.0,74.4,96.8,87.9,99.3,36.9,16.2,6.4,78.1
HAVERI,-0.057911356715912900,0.4973147564168720,52.25812278565660,0.8665659617321250,0.9848942598187310,0.9894259818731120,40.0,71.5,72.6,99.1,68.9,99.1,28.8,16.5,4.2,44.6
HINGOLI,0.03363361145979470,0.2724431060115120,33.060078719014000,0.7367624810892590,0.9228441754916790,0.7655068078668680,33.2,76.5,69.4,92.4,69.0,98.1,14.7,37.1,14.4,73.1
HISAR,-0.046472953768935500,0.18827096275599700,22.941568499073600,0.8578844905905260,0.9772874756651530,0.9961064243997400,43.9,79.8,69.3,99.3,89.1,99.7,27.9,8.9,3.6,74.4
